,event,dataset,mag,interp_momentrate
0,20170818_0259,scardec_opt,6.591,[0.02557143 0.02580713 0.02604283 ... 0.1439605  0.14224603 0.14053155]
1,20170818_0259,scardec_moy,6.591,[0.0649329  0.06495837 0.06498384 ... 0.13070127 0.1298913  0.12908134]
2,20110126_1542,scardec_opt,6.114,[0.02442498 0.02461719 0.02480939 ... 0.10341294 0.1031089  0.10280486]
3,20110126_1542,scardec_moy,6.114,[0.0050226  0.00500753 0.00499246 ... 0.10149426 0.10132113 0.10114801]
4,20110126_1542,sigloch_0,6.114,[0.05504005 0.05511206 0.05518408 ... 0.10197761 0.10171138 0.10144515]
5,19981010_1629,scardec_opt,5.927,[0.03873222 0.03904627 0.03936033 ... 0.15543466 0.15513712 0.15483958]
6,19981010_1629,scardec_moy,5.927,"[1.85421213e-05 2.56356110e-05 3.27291006e-05 ... 1.13911687e-01
 1.13702652e-01 1.13493617e-01]"
7,19920730_0824,scardec_opt,6.017,[0.03413961 0.03432935 0.03451909 ... 0.14508013 0.14441942 0.14375871]
8,19920730_0824,scardec_moy,6.017,[0.00037223 0.00036855 0.00036486 ... 0.14640199 0.14595964 0.14551729]
9,19960327_2052,scardec_opt,6.157,[0.02893426 0.02901434 0.02909442 ... 0.21723748 0.21514201 0.21304654]
10,19960327_2052,scardec_moy,6.157,[0.04846464 0.04854217 0.04861971 ... 0.10238355 0.10198037 0.10157719]
11,20011012_1502,scardec_opt,6.967499999999999,[0.03185169 0.03208606 0.03232042 ... 0.11307218 0.11293148 0.11279078]
12,20011012_1502,scardec_moy,6.967499999999999,[0.00022944 0.00023926 0.00024908 ... 0.10512574 0.10506994 0.10501414]
13,20011012_1502,sigloch_0,6.967499999999999,[0.07250868 0.07261235 0.07271602 ... 0.12487239 0.12476517 0.12465796]
14,20011012_1502,sigloch_1,6.967499999999999,[0.06005235 0.06011647 0.0601806  ... 0.13253459 0.13243407 0.13233356]
15,20011012_1502,sigloch_2,6.967499999999999,[1.         0.99999702 0.99999404 ... 0.1120033  0.1119796  0.1119559 ]
16,19960212_0908,scardec_opt,6.193,[0.03791665 0.03844359 0.03897052 ... 0.14972343 0.14852303 0.14732264]
17,19960212_0908,scardec_moy,6.193,[0.01187457 0.01186826 0.01186194 ... 0.12865868 0.12734388 0.12602908]
18,20120320_1802,scardec_opt,7.387,[0.02401158 0.02419649 0.02438141 ... 0.10504835 0.10489732 0.1047463 ]
19,20120320_1802,scardec_moy,7.387,[0.01634756 0.01635875 0.01636995 ... 0.10559869 0.10552673 0.10545478]
20,20120320_1802,ye,7.387,[0.13181254 0.13219485 0.13257715 ... 0.11468172 0.11462984 0.11457796]
21,20120320_1802,usgs,7.387,[0.00097262 0.00098624 0.00099986 ... 0.10083045 0.10070371 0.10057698]
22,20070402_1202,scardec_opt,6.2195,[0.02661514 0.02677079 0.02692645 ... 0.10802565 0.10788293 0.10774021]
23,20070402_1202,scardec_moy,6.2195,[0.00132521 0.00133277 0.00134033 ... 0.11899454 0.11860458 0.11821462]
24,20070402_1202,sigloch_0,6.2195,[0.07500669 0.07506267 0.07511865 ... 0.10530814 0.10516141 0.10501468]
25,20070427_1349,scardec_opt,5.8,[0.03144662 0.03171536 0.0319841  ... 0.11589277 0.11563615 0.11537954]
26,20070427_1349,scardec_moy,5.8,[0.00020211 0.00020972 0.00021733 ... 0.10082743 0.1006118  0.10039616]
27,20140904_0533,scardec_opt,5.9965,[0.02178354 0.02189137 0.0219992  ... 0.15542741 0.15517022 0.15491304]
28,20140904_0533,scardec_moy,5.9965,[0.00578778 0.00578592 0.00578406 ... 0.1319476  0.13169101 0.13143441]
29,20140904_0533,sigloch_0,5.9965,[0.10033697 0.10046557 0.10059417 ... 0.12900293 0.1288767  0.12875046]
30,20040715_0427,scardec_opt,7.0725,[0.02090501 0.02094749 0.02098998 ... 0.12102749 0.12083175 0.120636  ]
31,20040715_0427,scardec_moy,7.0725,[0.03364414 0.03363242 0.03362069 ... 0.1052728  0.10522639 0.10517999]
32,20040715_0427,sigloch_0,7.0725,[0.05319735 0.05326464 0.05333194 ... 0.10532277 0.10517235 0.10502193]
33,20040715_0427,sigloch_1,7.0725,[1.         0.99999793 0.99999586 ... 0.10784866 0.10777734 0.10770603]
34,20080415_2259,scardec_opt,6.3925,[0.0360391  0.03611661 0.03619413 ... 0.21017169 0.20953387 0.20889604]
35,20080415_2259,scardec_moy,6.3925,[0.17573293 0.17574341 0.17575389 ... 0.10290028 0.10283557 0.10277087]
36,20080415_2259,sigloch_0,6.3925,[0.05393523 0.05399249 0.05404975 ... 0.13814132 0.13798921 0.13783709]
37,20050505_1912,scardec_opt,6.455,[0.03894829 0.03896481 0.03898134 ... 0.10757225 0.10712102 0.10666979]
38,20050505_1912,scardec_moy,6.455,[0.00756072 0.00761742 0.00767412 ... 0.10339807 0.10311158 0.1028251 ]
39,19940713_1145,scardec_opt,6.474,[0.02168006 0.02178239 0.02188473 ... 0.11052098 0.11042035 0.11031972]
40,19940713_1145,scardec_moy,6.474,"[1.41061404e-06 1.41073396e-06 1.41085388e-06 ... 1.01999952e-01
 1.01877822e-01 1.01755692e-01]"
41,20111006_1112,scardec_opt,5.9175,[0.02116995 0.0212453  0.02132064 ... 0.15705499 0.15673432 0.15641364]
42,20111006_1112,scardec_moy,5.9175,[0.01171961 0.01171992 0.01172023 ... 0.12809737 0.12793178 0.12776619]
43,20111006_1112,sigloch_0,5.9175,[0.08303257 0.08309807 0.08316357 ... 0.16341807 0.16323859 0.16305912]
44,20030907_1319,scardec_opt,6.414,[0.03364614 0.03371305 0.03377996 ... 0.18429336 0.18277569 0.18125802]
45,20030907_1319,scardec_moy,6.414,[0.07354497 0.07350203 0.0734591  ... 0.10115994 0.10092463 0.10068933]
46,19940713_0235,scardec_opt,7.054,[0.00354605 0.00376117 0.00397629 ... 0.10288213 0.10252546 0.10216879]
47,19940713_0235,scardec_moy,7.054,[0.09671489 0.09670019 0.09668549 ... 0.11018939 0.11009371 0.10999803]
48,19980521_2231,scardec_opt,6.279,[0.03476232 0.03505755 0.03535279 ... 0.15797133 0.1572502  0.15652906]
49,19980521_2231,scardec_moy,6.279,[0.00634968 0.0065129  0.00667612 ... 0.10763644 0.1074715  0.10730656]
50,20030825_0628,scardec_opt,5.952500000000001,[0.02034437 0.02050845 0.02067253 ... 0.10137505 0.10118795 0.10100085]
51,20030825_0628,scardec_moy,5.952500000000001,[0.04680095 0.04679882 0.04679668 ... 0.10132116 0.10129692 0.10127268]
52,20030825_0628,sigloch_0,5.952500000000001,[0.07233858 0.07243149 0.07252439 ... 0.1955645  0.19537106 0.19517761]
